"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
teach_hosp,questionnaire,,yesno,"Do you work at a university/teaching hospital?",,,,,,,,,LV,,,,
number_beds,questionnaire,,radio,"Please indicate the number of beds in your hospital","1, < 100 | 2, 100-300 | 3, 301-500 | 4, >500",,,,,,,,LV,,,,
surveill_cr,questionnaire,Epidemiology,radio,"Does your institution collect surveillance data on the prevalence of carbapenem-resistant pathogens?","1, Yes | 2, No | 3, I don't have this information",,,,,,,,,,,,
frequency_preval,questionnaire,,radio,"Please specify how often prevalence/point prevalence investigations are performed at your hospital","1, More than once a year | 2, Every year | 3, Every 2 years | 4, Every 3 years | 5, Every 4 years | 6, Every 5 years or more | 7, I don't have this information",,,,,,[surveill_cr]=1,,,,,,
cre_k_prev,questionnaire,,text,"<div class=""rich-text-field-label""><p>Please specify the approximate number of carbapenem-resistant <em>Klebsiella pneumoniae</em> isolates at your hospital over 100 <em>K. pneumoniae </em>positive<em> </em>blood cultures.</p></div>",,"Leave this space empty if you don't have this information",integer,1,100,,,,,,,,
cre_p_prev,questionnaire,,text,"<div class=""rich-text-field-label""><p>Please specify the approximate number of carbapenem-resistant <em>Pseudomonas aeruginosa</em> spp. isolates at your hospital over 100 <em>P. aeruginosa</em> positive blood cultures.</p></div>",,"Leave this space empty if you don't have this information",integer,1,100,,,,,,,,
cre_a_pre,questionnaire,,text,"<div class=""rich-text-field-label""><p>Please specify the approximate number of carbapenem-resistant <em>Acinetobacter baumannii</em> isolates at your hospital over 100 <em>A. baumannii </em>positive blood cultures.</p></div>",,"Leave this space empty if you don't have this information",integer,1,100,,,,,,,,
cre_mechanism,questionnaire,,radio,"Please indicate which is the most frequent resistance mechanism in carbapenem-resistant Enterobacterales","1, KPC | 2, OXA | 3, NDM | 4, VIM | 5, IMP | 6, GES | 7, Other carbapenemase | 8, Other mechanism (eg. efflux pump up-regulation, loss of porins etc.)",,,,,,,,,,,,
spec_metal,questionnaire,,text,"Please specify",,,,,,,[cre_mechanism]=7,,,,,,
spec_othermech,questionnaire,,text,"Please specify",,,,,,,[cre_mechanism]=8,,,,,,
guidelines,questionnaire,"Guidance for treatment",yesno,"Are there clinical guidelines for treating carbapenem-resistant pathogens at your disposal?",,,,,,,,,LV,,,,
available_guidelines,questionnaire,,checkbox,"Please specify the type of available guidelines","1, Hospital/institution | 2, Local | 3, National | 4, International","more than one answer is possible",,,,,[guidelines]=1,,LV,,,,
access_guidelines,questionnaire,,checkbox,"What kind of platform grants you access to those guidelines?","1, Hospital link | 2, Online | 3, Smartphone/tablet app | 4, Paper based","more than one answer is possible",,,,,[guidelines]=1,,LV,,,,
algorithms,questionnaire,,yesno,"Do you have clinical algorithms to guide empirical antibiotic therapy for carbapenem-resistant pathogens  based on local epidemiological data?",,,,,,,,,LV,,,,
access_algorithms,questionnaire,,checkbox,"How do you access those algorithms?","1, Hospital link | 2, Online | 3, Smartphone/tablet app | 4, Paper based","more than one answer is possible",,,,,[algorithms]=1,,LV,,,,
stewardship,questionnaire,,yesno,"Is there an antimicrobial stewardship team supporting your work?",,,,,,,,,LV,,,,
acces_stewards,questionnaire,,checkbox,"What platform grants you access to stewardship programs?","1, Hospital link | 2, Online | 3, Smartphone/tablet app | 4, Paper based","more than one answer is possible",,,,,[stewardship]=1,,LV,,,,
access_stewards,questionnaire,,checkbox,"Please specify how you access to these platforms","1, Available without restrictions (open access) | 2, Available only if you have special permission (private) | 3, Available with a subscription","more than one answer is possible",,,,,[stewardship]=1,,LV,,,,
carabap_detection,questionnaire,Microbiology,yesno,"Is information regarding resistance mechanisms for suspected carbapenem-resistant bacteria available at your institution?",,"CRE: carbapenem resistant enterobacterales; CRAB: carbapenem resistant A baumannii; CRPA: carbapenem resistant P. aeruginosa",,,,,,,LV,,,,
kindoftestcr,questionnaire,,checkbox,"Which kind of tests are available?","1, Immunochromatography tests | 2, Phenotypic methods | 3, Molecular methods (PCR) | 4, I don't have this information",,,,,,[carabap_detection]=1,,,,,,
suscept_testcefi,questionnaire,,radio,"Is cefiderocol susceptibility routinely tested at your hospital?","1, Yes | 2, No | 3, I don't have this information",,,,,,,,LV,,,,
casescefi_tested,questionnaire,,checkbox,"When is cefiderocol tested?","1, Every time a gram negative is isolated | 2, Every time a carbapenemase is detected | 3, Only if a metallo-betalactamase is detected (e.g., VIM, NDM, IMP) | 4, Only when a gram negative isolate is resistant to other last-generation antibiotics | 5, If requested by the clinician | 6, I don't have this information",,,,,,[suscept_testcefi]=1,,LV,,,,
type_test,questionnaire,,checkbox,"<p>What cefiderocol susceptibility test is available at your institution?</p>","1, Broth microdiluition | 2, Disk diffusion | 3, Gradient strips (only for P. aeruginosa) | 4, Agar diffusion | 5, Other",,,,,,[suscept_testcefi]=1,,,,,,
specify_senstest,questionnaire,,text,"Please specify other sensitivity test(s)",,,,,,,"[type_test(5)] = '1'",,,,,,
brothmicrodil_specify,questionnaire,,radio,"Please specify which kind  broth diluition method you use","1, Commercial broth microdiluition | 2, Manual broth microdiluition (in-house)",,,,,,"[type_test(1)] = '1'",,,,,,
avail_cefid,questionnaire,"Cefiderocol use",yesno,"Is cefiderocol available at your hospital?",,,,,,,,,LV,,,,
compass,questionnaire,,yesno,"Do you know if cefiderocol was prescribed for compassionate use at your hospital?",,,,,,,,,LV,,,,
rct_cefid,questionnaire,,yesno,"Do you know if cefiderocol has been used in randomized clinical trials at your hospital?",,,,,,,,,LV,,,,
clprac_cef,questionnaire,,yesno,"Is cefiderocol used in clinical practice at your hospital?",,"Apart from trials and compassionate use",,,,,,,LV,,,,
pharmacy_restrict,questionnaire,,yesno,"Is cefiderocol use restricted by your hospital's pharmacy (e.g. allowed only with specialist prescription)?",,,,,,,[clprac_cef]=1,,LV,,,,
icu_only,questionnaire,,yesno,"Is cefiderocol use limited to the intensive care unit at your hospital?",,,,,,,[clprac_cef]=1,,LV,,,,
n_treatments,questionnaire,,radio,"Please specify how often you believe cefiderocol is prescribed in a month at your hospital?
","1, < 2 treatment | 2, 1-5 treatments | 3, 5-10 treatments | 4, >10 treatments",,,,,,[clprac_cef]=1,,LV,,,,
cefi_cre_nonspecified,questionnaire,,radio,"Would you normally use cefiderocol for carbapenem-resistant Enterobacterales (CRE) before the mechanism of resistance is known?","1, Yes | 3, No",,,,,,,,,,,,
combocreempiric,questionnaire,,radio,"Would you use it alone or in combination?","1, Alone | 2, In combination",,,,,,[cefi_cre_nonspecified]=1,,,,,,
cefi_crenonndm,questionnaire,,radio,"Would you normally use cefiderocol for CRE that do not produce metallo-betalactamases?","1, Yes | 2, No",,,,,,,,,,,,
combocreempiric_2,questionnaire,,radio,"Would you use it alone or in combination?","1, Alone | 2, In combination",,,,,,[cefi_crenonndm]=1,,,,,,
cefi_crendm,questionnaire,,radio,"Would you use cefiderocol for CRE producing metallo-betalactamases?","1, Yes, first choice | 2, Yes, second choice after ceftazidime/avibactam plus aztreonam combination | 3, Yes, if there are no alternative regimens | 4, No",,,,,,,,,,,,
cefi_crpa,questionnaire,,yesno,"<div class=""rich-text-field-label""><p>Would you normally use cefiderocol as a treatment option for carbapenem-resistant <em>P. aeruginosa</em> (CRPA)?</p></div>",,,,,,,,,,,,,
cefi_crpandm,questionnaire,,radio,"Would you use cefiderocol for CRPA producing metallo-betalactamases?","1, Yes, first choice | 2, Yes, second choice after ceftazidime/avibactam plus aztreonam combination | 3, Yes, if there are no alternative regimens | 4, No",,,,,,[cefi_crpa]=1,,,,,,
cefi_crab,questionnaire,,yesno,"<div class=""rich-text-field-label""><p>Would you normally use cefiderocol as an option for carbapenem-resistant <em>Acinetobacter baumannii</em> (CRAB)?</p></div>",,,,,,,,,,,,,
cefi_crab_combo,questionnaire,,radio,"Would you use it alone or in combination?","1, Alone | 2, In combination",,,,,,[cefi_crab]=1,,,,,,
cuti,questionnaire,"Please specify in which type of infection you would use cefiderocol preferentially",radio,"Complicated UTI","1, Also in empirical therapy | 2, Whenever a carbapenem-resistant gram negative bacteria is isolated | 3, Whenever a metallo-betalactamase producing bacteria is isolated | 4, Only if there are  no alternative therapeutic regimens | 5, Never",,,,,,,,,,settinginfect,,"complicated urinary tract ingfection"
bsi,questionnaire,,radio,BSI,"1, Also in empirical therapy | 2, Whenever a carbapenem-resistant gram negative bacteria is isolated | 3, Whenever a metallo-betalactamase producing bacteria is isolated | 4, Only if there are  no alternative therapeutic regimens | 5, Never",,,,,,,,,,settinginfect,,"bloodstream infecton"
hap_vap,questionnaire,,radio,HAP/VAP,"1, Also in empirical therapy | 2, Whenever a carbapenem-resistant gram negative bacteria is isolated | 3, Whenever a metallo-betalactamase producing bacteria is isolated | 4, Only if there are  no alternative therapeutic regimens | 5, Never",,,,,,,,,,settinginfect,,"hospital acquired infection"
cnsi,questionnaire,,radio,"CNS infection","1, Also in empirical therapy | 2, Whenever a carbapenem-resistant gram negative bacteria is isolated | 3, Whenever a metallo-betalactamase producing bacteria is isolated | 4, Only if there are  no alternative therapeutic regimens | 5, Never",,,,,,,,,,settinginfect,,"central nervous system infection"
cai,questionnaire,,radio,"Complicated abdominal infection","1, Also in empirical therapy | 2, Whenever a carbapenem-resistant gram negative bacteria is isolated | 3, Whenever a metallo-betalactamase producing bacteria is isolated | 4, Only if there are  no alternative therapeutic regimens | 5, Never",,,,,,,,,,settinginfect,,
off_l,questionnaire,,radio,"Other type of infection (e.g., bone or skin/soft tissues)","1, Also in empirical therapy | 2, Whenever a carbapenem-resistant gram negative bacteria is isolated | 3, Whenever a metallo-betalactamase producing bacteria is isolated | 4, Only if there are  no alternative therapeutic regimens | 5, Never",,,,,,,,,,settinginfect,,"off label"
percept_crab_n_m,questionnaire,"What is your perception of cefiderocol clinical efficacy for this pathogens?",radio,"CRAB (non metallo-betalactamase)","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_pathogen,,"carbapenem resistant Acinetobacter baumanii"
percept_crab_mb,questionnaire,,radio,"CRAB (metallo-betalactamase)","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_pathogen,,"carbapenem resistant Acinetobacter baumanii"
percept_crpa_n_mb,questionnaire,,radio,"CRPA (non metallo-betalactamase)","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_pathogen,,"carbapenem resistant P aeruginosa"
percptcrpa_mb,questionnaire,,radio,"CRPA (metallo-betalactamase)","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_pathogen,,"carbapenem resistant P aeruginosa"
perceptcre_n_mb,questionnaire,,radio,"CRE (non metallo-betalactamase)","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_pathogen,,"carbapenem resistant enterobacteriaceae"
perceptcre_mb,questionnaire,,radio,"CRE (metallo-betalcactamase)","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_pathogen,,"carbapenem resistant enterobacteriaceae"
percept_cuti,questionnaire,"What is your perception of cefiderocol clinical efficacy for this indication?",radio,"Complicated UTI","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_indication,,"Complicated urinary tract infection"
percept_bsi,questionnaire,,radio,BSI,"1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_indication,,"Bloodstream infection"
percept_hap_vap,questionnaire,,radio,HAP/VAP,"1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_indication,,"Hospital acquired pneumoniae/ventilation associated pneumonia"
percept_cns,questionnaire,,radio,"CNS infection","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_indication,,"Central nervous system infection"
percept_cai,questionnaire,,radio,"Complicated abdominal infection","1, High | 2, Moderate | 3, Low",,,,,,,,,,percept_indication,,
compar_colistin,questionnaire,"Compared to cefiderocol, how do you rate the following antibiotics?",radio,"Colistin/Polymyxin B","1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
compar_meropenem,questionnaire,,radio,Meropenem,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
compar_c_avi,questionnaire,,radio,Ceftazidime/avibactam,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
compar_c_tazo,questionnaire,,radio,Ceftolozane/tazobactam,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
compar_fosfo,questionnaire,,radio,Fosfomycin,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
compar_amika,questionnaire,,radio,Amikacin,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
compar_plazo,questionnaire,,radio,Plazomicin,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
compar_tige,questionnaire,,radio,Tigecyclin,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
compar_mer_vabo,questionnaire,,radio,Meropenem/vaborbatam,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
copar_imi_rele,questionnaire,,radio,Imipenem/relebactam,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
capmpar_c_avi_aztr,questionnaire,,radio,Ceftazidime/avibactam+aztreonam,"1, More effective, same/less toxicity | 2, More effective, higher toxicity | 3, Equivalent, same/less toxicity | 4, Equivalent, higher toxicity | 5, Less effective, same/less toxicity | 6, Less effective, higher toxicity | 7, It depends on the specific pathogen and type of infection | 8, There is not enough scientific evidence to give an answer",,,,,,,,,,comparison_drugs,,
non_cr,questionnaire,,yesno,"Do you use cefiderocol for carbapenem-susceptible isolates?",,,,,,,[clprac_cef]=1,,LV,,,,
cases_noncr,questionnaire,,text,"In which cases?",,,,,,,[non_cr]=1,,LV,,,,
combination,questionnaire,,radio,"Do you use cefiderocol in combination with other anti gram-negative antibiotics?","1, Not usually, I prefer cefiderocol as monotherapy | 2, Yes, usually | 3, Only in selected cases",,,,,,[clprac_cef]=1,,LV,,,,
drugs_combination,questionnaire,,checkbox,"Please list your preferred antibiotic(s) to use in combination with cefiderocol","1, Aminoglycosides | 2, Carbapenems | 3, Colistin/polymyxin B | 4, Tetracyclines | 5, Ampicillin/sulbactam | 6, Quinolones | 7, Fosfomycin | 8, Other (specify)",,,,,,"[combination] = '2' or [combination] = '3'",,LV,,,,
specfy_combo,questionnaire,,text,"Please specify",,,,,,,"[drugs_combination(8)] = '1'",,LV,,,,
reason_combo,questionnaire,,checkbox,"What is the main reason for combination therapy","1, To decrease the selection of antibiotic resistant bacteria | 2, In case of sepsis or septic shock | 3, In immunocompromised patients | 4, According to the isolates",,,,,,"[combination] = '2' or [combination] = '3'",,LV,,,,
specify_isolatecombo,questionnaire,,text,"Please specify for which isolate(s) do you use cefiderocol in combination ",,,,,,,"[reason_combo(4)] = '1'",,LV,,,,
var_dose,questionnaire,,radio,"Do you usually use cefiderocol according to the label dosage of 2 g every 8 hours (with changes according to renal function) or also at different doses? ","1, I use it also at different dosages than the label dosage | 2, I use it according to label dosage",,,,,,[clprac_cef]=1,,LV,,,,
var_dose_why,questionnaire,,checkbox,Why?,"1, Based on local therapeutic drug monitoring | 2, I increase the dose for sepsis/septic shock | 3, To achieve higher tissue concentration (e.g., CNS infection)",,,,,,[var_dose]=1,,LV,,,,
vignette_image1,questionnaire,"We are now presenting 4 clinical scenarios and we would like to know your opinion on the clinical management. Please respond to the clinical vignettes below.",descriptive,"<div class=""rich-text-field-label""><p>Clinical vignette 1 <br /><br />A 65-year-old man transferred from another hospital is admitted to the intensive care unit at your institution following abdominal surgery (postoperative day 3).</p> <p> </p> <p>The hospital documentation reports rectal colonization by <em>A. baumannii</em> susceptible to gentamicin and cefiderocol.</p> <p> </p> <p>On the same day, the patient presents fever and hypotension and a CT scan excludes abdominal complications.</p> <p>Microbiological cultures are pending. </p></div>",,"ICU=intensive care unit",,,,,,,,,,,
v1_ab_empirical,questionnaire,,radio,"<div class=""rich-text-field-label""><p>Would you consider the coverage of <em>Acinetobacter baumannii </em>in the empirical antibiotic therapy?</p></div>","1, No | 2, Yes, using cefiderocol plus gentamicin | 3, Yes, using gentamicin only | 4, Yes, using  cefiderocol only | 5, Yes, using gentamicin in association with high-dose ampicillin/sulbactam | 6, Yes, using  cefiderocol in association with high-dose ampicillin/sulbactam | 7, Yes, using other antibiotics (based on the local susceptibility profiles) | 8, Unsure",,,,,,,,LV,,,,
v1_ab_urinary,questionnaire,,radio,"<div class=""rich-text-field-label""><p>If a urinary source of infection is confirmed, and urine cultures turn positive for <em>A. baumannii</em> (pending antibiogram results), would you change antibiotic therapy to....?</p></div>","1, Cefiderocol monotherapy | 2, Gentamicin monotherapy | 3, High-dose ampicillin/sulbactam monotherapy | 4, Colistin/polymyxin B monotherapy | 5, Colistin/polymyxin B + high-dose ampicillin/sulbactam | 6, Gentamicin + high-dose ampicillin/sulbactam | 7, Cefiderocol+ gentamicin | 8, Cefiderocol + high-dose  ampicillin/sulbactam | 9, Other combination (specify) | 10, Other monotherapy (specify) | 11, No changes in antibiotic therapy",,,,,,,,LV,,,,
a_b_comb_spec,questionnaire,,text,"Please specify",,,,,,,"[v1_ab_urinary]=""9""",,LV,,,,
a_b_mono_specify,questionnaire,,text,"Please specify",,,,,,,"[v1_ab_urinary]=""10""",,LV,,,,
vignette_image2,questionnaire,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: justify;"">Clinical vignette 2</p> <p style=""text-align: justify;"">A 62-year-old man is admitted to the Intensive care unit for severe COVID-19 pneumonia. After 7 days of invasive mechanical ventilation CT scan shows multiple areas of consolidation with decline in oxygenation suggestive for ventilator-associated pneumonia.</p> <p style=""text-align: justify;""> </p> <p style=""text-align: justify;""><em>P. aeruginosa</em> resistant to meropenem and ceftolozane/tazobactam grows in the bronchoalveolar lavage (cefiderocol susceptibility is not currently available).</p></div>",,,,,,,,,,,,,
vign_2_treatment,questionnaire,,radio,"Would  you use cefiderocol in this scenario? ","1, Yes, first line treatment  (monotherapy) | 2, Yes, in combination with another susceptible drug | 3, Yes, as an alternative to another drug if intolerance or resistance | 4, No | 5, Not sure",,,,,,,,,,,,
v2_specify_combo,questionnaire,,radio,"Please specify the combination drug you would use","1, Colistin/polymyxin B | 2, Ceftazidime/avibactam | 3, Fosfomycin | 4, Aminoglicoside",,,,,,[vign_2_treatment]=2,,LV,,,,
v2_specify_1stcoice,questionnaire,,radio,"Please specify the first line treatment you would have used","1, Colistin/polymyxin B | 2, Ceftazidime/avibactam | 3, Fosfomycin | 4, Aminoglicoside",,,,,,[vign_2_treatment]=3,,LV,,,,
vignette_image3,questionnaire,,descriptive,"<div class=""rich-text-field-label""><p>Clinical vignette 3<br /><br />A 72-year-old woman with an indwelling urinary catheter presents with febrile cystits. The patient had recent (< 1 month) rectal colonization with NDM-producing <em>K. pneumoniae</em>. Catheter is replaced and piperacillin/tazobactam is empirically started. </p> <p>On hospitalization day 3, she develops clinical deterioration with SOFA score suggestive of sepsis. Blood and urinary cultures return positive for <em>K. pneumoniae</em>, microbiological tests are pending. The patient is hemodynamically stable.</p></div>",,,,,,,,,,,,,
